968	968	0	src/main/resources/assets/dragnlivestock/lang/ru_ru.json
500	250	250	src/main/java/com/dragn0007/dragnlivestock/datagen/LORecipeMaker.java
496	248	248	src/generated/resources/.cache/9fb1092f32d4fcbf9e061ffd718d4ec689c6c95e
178	0	178	src/main/resources/data/dragnlivestock/loot_tables/entities/ox.json
157	155	2	src/main/resources/assets/dragnlivestock/animations/o_cow.animation.json
80	0	80	src/main/resources/data/dragnlivestock/loot_tables/entities/overworld_unicorn.json
80	0	80	src/main/resources/data/dragnlivestock/loot_tables/entities/o_sheep.json
80	0	80	src/main/resources/data/dragnlivestock/loot_tables/entities/o_pig.json
80	0	80	src/main/resources/data/dragnlivestock/loot_tables/entities/o_mule.json
80	0	80	src/main/resources/data/dragnlivestock/loot_tables/entities/o_mooshroom.json
